EmpID,EmpFname,EmpLname,BeginDate,EndDate,EmpBirthDate
1,Ann,Scott,2017-01-30,,1999-04-23
2,Veronica,Patton,2017-06-26,,1988-09-17
3,Anna,Mcmillan,2022-12-28,2023-08-30,1979-01-31
4,Ryan,Garcia,2018-08-04,,1992-12-03
5,Gabriela,Crawford,2015-10-26,,1996-10-12
6,John,Huffman,2017-04-13,,1969-08-18
7,Paul,Lee,2020-07-21,2024-12-22,1988-06-01
8,Wayne,Terry,2017-04-26,,2000-03-15
9,William,Ross,2021-05-28,,1985-04-06
10,Benjamin,Hill,2022-03-08,,1976-01-09
11,Aaron,Gomez,2021-11-15,,1994-12-05
12,Karen,Lewis,2015-03-05,,1959-05-28
13,Anthony,Thomas,2015-07-05,,1988-06-10
14,Anthony,Harris,2019-04-12,2023-10-17,2000-12-31
15,Roberto,White,2017-04-23,,2001-09-03
16,Laurie,Sampson,2022-09-24,,1987-05-10
17,Suzanne,Russell,2016-04-21,,1986-12-06
18,Shannon,Holden,2018-04-04,2024-01-08,1989-11-12
19,Tyler,Sanchez,2015-01-20,,1984-01-09
20,Tami,Johnson,2017-09-11,2024-03-04,1967-05-17
21,Barbara,Smith,2022-05-25,,1962-10-23
22,Ronald,Barnett,2018-09-16,,1998-02-03
23,Betty,Richards,2016-12-26,,1987-06-01
24,Kenneth,Potter,2019-05-17,,1967-11-03
25,Douglas,Richardson,2017-07-24,2024-06-06,1966-09-11
26,Frank,Gilbert,2019-03-03,,1984-02-03
27,Latasha,Clark,2019-07-05,,1993-11-25
28,Melanie,Smith,2015-07-03,2023-10-13,1980-08-22
29,Brittany,Gonzalez,2016-09-30,,1991-03-17
30,Joseph,Hines,2016-08-03,,1959-06-17
31,Laura,Smith,2021-09-18,,1971-08-21
32,Spencer,Decker,2017-10-05,,1967-11-19
33,Patrick,Ramos,2021-12-21,,1980-09-25
34,Natasha,Banks,2022-07-01,,1990-02-20
35,Michael,Booker,2017-11-23,,1984-02-11
36,Kendra,Payne,2019-09-28,,1996-06-03
37,Dawn,Garcia,2022-08-18,,1960-04-18
38,Jonathan,Gonzalez,2021-05-25,,1994-07-23
39,Tammy,Harrison,2022-12-18,2023-05-11,1960-02-19
40,James,Rose,2022-01-08,,1969-07-19
41,Debra,Velazquez,2018-06-22,,1999-09-27
42,Jeremy,White,2017-04-19,,1962-07-07
43,Joseph,Stewart,2022-04-30,,1975-04-24
44,Tiffany,Burns,2018-01-21,2023-04-19,1995-06-01
45,Nancy,Weber,2019-08-04,,1978-12-29
46,Amber,Jones,2022-09-28,,1989-02-03
47,Lauren,Moreno,2015-02-11,,1991-10-25
48,Sean,Moore,2019-08-31,,1988-02-16
49,Jeanette,Thomas,2019-08-22,,1976-12-03
50,Keith,Schaefer,2019-03-25,,1990-07-06
51,Brian,Wang,2018-02-13,,1971-09-10
52,Allison,Benton,2017-02-15,2023-08-29,1991-03-18
53,Abigail,Adams,2020-06-22,,1993-04-07
54,Stephen,Perkins,2017-11-04,,1986-06-15
55,Jennifer,Saunders,2021-09-24,2023-03-04,1974-05-29
56,Annette,Rodriguez,2015-02-12,2024-06-02,1990-06-15
57,Julie,Austin,2022-01-10,,1985-07-24
58,Jennifer,Cole,2022-10-07,,1996-02-05
59,Lauren,Baker,2019-06-08,,1996-09-21
60,Steven,Burke,2015-06-21,,2000-06-06
61,Claudia,Santiago,2022-10-21,2024-08-24,1983-11-23
62,Anna,Alexander,2020-01-14,,1988-08-24
63,Kevin,Baker,2016-06-11,,1977-12-24
64,Michael,Jones,2022-06-08,,1964-11-14
65,Margaret,Lee,2022-09-25,,2004-12-08
66,William,Ruiz,2017-07-02,,1996-10-07
67,Tracy,Martin,2015-10-16,,1992-10-25
68,Joshua,Martin,2022-02-24,,1961-07-09
69,Melanie,Wright,2016-04-13,,2004-03-26
70,Valerie,Kennedy,2016-04-17,,1963-11-13
71,Chris,Pittman,2016-10-12,,1974-09-03
72,Lisa,Peterson,2020-06-24,,1988-12-11
73,Wendy,Scott,2015-09-30,,1984-10-15
74,Lisa,Kelley,2017-01-21,,2001-05-02
75,Danielle,Stone,2021-01-08,2024-12-04,1983-08-05
76,Vincent,Aguilar,2018-09-02,,1987-05-16
77,Wendy,Wheeler,2016-11-16,,2003-11-16
78,Wendy,Nelson,2017-11-16,,1973-12-02
79,James,Morris,2022-08-20,,1982-03-06
80,Charles,Schultz,2022-10-17,,1981-10-04
81,Tony,Crawford,2019-06-20,2023-02-25,1974-10-10
82,Joann,Vega,2018-03-12,,1967-01-19
83,Timothy,Casey,2021-01-05,2023-08-12,1978-11-11
84,Tammie,Ramirez,2018-03-19,,1959-11-22
85,Charles,Morales,2018-03-12,,1996-06-04
86,Jeanne,Hamilton,2021-05-24,,1968-09-24
87,Steven,Rodriguez,2017-12-07,,1981-06-03
88,Craig,Decker,2016-03-20,2024-04-21,1983-11-23
89,Laura,Sullivan,2016-05-04,,1980-08-24
90,Tamara,Huff,2019-06-06,,1982-10-12
91,Deborah,Rogers,2017-04-07,,2001-03-20
92,Nicholas,Harrison,2015-12-21,,1978-10-30
93,Stephanie,Watson,2021-03-22,,1987-06-16
94,Kristine,Owens,2020-08-01,,1975-02-28
95,Jose,Ramirez,2017-04-02,,1969-10-08
96,Tanya,Cain,2016-06-04,,1985-01-04
97,Cory,Stevens,2020-10-23,2024-08-11,1998-01-15
98,Amanda,Robinson,2015-05-27,,2002-05-09
99,Jose,Jones,2020-04-04,,1967-09-22
100,Martha,Barnes,2020-05-15,,1961-07-25
101,Kristen,Cooper,2016-03-23,,1974-04-22
102,Angela,Werner,2016-04-01,,1992-07-25
103,David,Bradford,2017-07-25,,1978-05-31
104,Ashlee,Sutton,2015-06-05,,1995-08-08
105,Emily,Mckenzie,2019-05-09,,1985-08-10
106,Sabrina,Mcgee,2017-01-25,,1989-02-17
107,Keith,Mejia,2015-12-09,,1962-10-15
108,Marilyn,Blackburn,2022-10-12,,1959-11-04
109,Sarah,Oconnell,2015-10-04,,1976-08-08
